"","id","name","price","rating","review_count","city","state","zip_code","latitude","longitude"
"2779","hop-valley-brewing-company-eugene","Hop Valley Brewing Company","$$",4,122,"Eugene","OR","97401",44.058197,-123.107528
"2780","claim-52-brewing-eugene","Claim 52 Brewing","$",4.5,15,"Eugene","OR","97402",44.048935,-123.13829
"2781","royal-blueberries-eugene","Royal Blueberries",NA,5,1,"Eugene","OR","97402",44.068461,-123.213093
"2782","elk-horn-brewery-eugene-7","Elk Horn Brewery","$$",3.5,226,"Eugene","OR","97401",44.049912,-123.082452
"2783","the-filling-station-eugene","The Filling Station","$",4.5,20,"Eugene","OR","97404",44.10410397,-123.1315698
"2784","sam-bonds-brewing-eugene","Sam Bond's Brewing","$",4.5,33,"Eugene","OR","97401",44.050707,-123.084764
"2785","the-bier-stein-eugene-2","The Bier Stein","$$",4,320,"Eugene","OR","97401",44.042384,-123.092497
"2786","claim-52-brewing-the-abbey-springfield","Claim 52 Brewing - The Abbey","$$",4.5,11,"Springfield","OR","97478",44.04703323,-123.020815
"2787","hop-valley-brewing-company-springfield","Hop Valley Brewing Company","$$",3.5,344,"Springfield","OR","97477",44.0829499,-123.03985
"2788","beergarden-eugene","Beergarden","$",4,72,"Eugene","OR","97401",44.05355,-123.10449
"2789","the-growler-guys-eugene","The Growler Guys","$",4.5,42,"Eugene","OR","97401",44.05171806,-123.1001021
"2790","crescendo-spirits-eugene","Crescendo Spirits","$$",5,9,"Eugene","OR","97402",44.04903752,-123.1541789
"2791","plank-town-brewing-co-springfield","Plank Town Brewing Co","$$",3.5,254,"Springfield","OR","97477",44.0463142,-123.0214462
"2792","the-tap-and-growler-eugene","The Tap & Growler","$$",4,101,"Eugene","OR","97401",44.054749,-123.0894732
"2793","rhombus-guys-brewing-company-grand-forks","Rhombus Guys Brewing Company","$$",3.5,16,"Grand Forks","ND","58201",47.92377472,-97.02871704
"2794","brick-and-barley-bar-and-restaurant-grand-forks-2","Brick & Barley Bar & Restaurant","$$",3,14,"Grand Forks","ND","58203",47.92546664,-97.03109213
